date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:39	45577/45577	---M-Z	200	added ('OK')	text/html	etag:%22b209-56bbf890fe880-gzip%22	http://themelamp.com/html/learnedu/	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/index.html	(from )
05:47:40	69/69	---M-Z	200	added ('OK')	text/plain	date:Tue,%2031%20Dec%202019%2004:48:01%20GMT	http://themelamp.com/robots.txt		(from )
05:47:42	4266/4266	---M--	200	added ('OK')	image/png	etag:%2210aa-56b673a736d80%22	http://themelamp.com/html/learnedu/images/favicon.png	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/favicon.png	(from http://themelamp.com/html/learnedu/)
05:47:43	166156/166156	---M-Z	200	added ('OK')	text/css	etag:%222890c-56a341b64fc80-gzip%22	http://themelamp.com/html/learnedu/css/bootstrap.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/bootstrap.min.css	(from http://themelamp.com/html/learnedu/)
05:47:44	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-55c3de7024780-gzip%22	http://themelamp.com/html/learnedu/css/font-awesome.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/font-awesome.min.css	(from http://themelamp.com/html/learnedu/)
05:47:46	13706/13706	---M-Z	200	added ('OK')	text/css	etag:%22358a-55248e1bdf980-gzip%22	http://themelamp.com/html/learnedu/css/jquery.fancybox.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/jquery.fancybox.min.css	(from http://themelamp.com/html/learnedu/)
05:47:47	5854/5854	---M-Z	200	added ('OK')	text/css	etag:%2216de-56a3836b38200-gzip%22	http://themelamp.com/html/learnedu/css/owl.carousel.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/owl.carousel.min.css	(from http://themelamp.com/html/learnedu/)
05:47:49	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-55e5f12ed5100-gzip%22	http://themelamp.com/html/learnedu/css/owl.theme.default.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/owl.theme.default.min.css	(from http://themelamp.com/html/learnedu/)
05:47:50	16952/16952	---M-Z	200	added ('OK')	text/css	etag:%224238-55e5f12cecc80-gzip%22	http://themelamp.com/html/learnedu/css/animate.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/animate.min.css	(from http://themelamp.com/html/learnedu/)
05:47:51	2239/2239	---M-Z	200	added ('OK')	text/css	etag:%228bf-56511239e9c80-gzip%22	http://themelamp.com/html/learnedu/css/slicknav.min.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/slicknav.min.css	(from http://themelamp.com/html/learnedu/)
05:47:53	6134/6134	---M-Z	200	added ('OK')	text/css	etag:%2217f6-56b78bb0d1e80-gzip%22	http://themelamp.com/html/learnedu/css/magnific-popup.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/magnific-popup.css	(from http://themelamp.com/html/learnedu/)
05:47:54	20922/20922	---M-Z	200	added ('OK')	text/css	etag:%2251ba-56be6d96cf580-gzip%22	http://themelamp.com/html/learnedu/css/normalize.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/normalize.css	(from http://themelamp.com/html/learnedu/)
05:47:55	55454/55454	---M-Z	200	added ('OK')	text/css	etag:%22d89e-56be6d784ad80-gzip%22	http://themelamp.com/html/learnedu/style.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/style.css	(from http://themelamp.com/html/learnedu/)
05:47:57	7371/7371	---M-Z	200	added ('OK')	text/css	etag:%221ccb-56be6c434d480-gzip%22	http://themelamp.com/html/learnedu/css/responsive.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/responsive.css	(from http://themelamp.com/html/learnedu/)
05:47:58	4018/4018	---M-Z	200	added ('OK')	text/css	etag:%22fb2-56b78675dc780-gzip%22	http://themelamp.com/html/learnedu/css/color/color1.css	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/color/color1.css	(from http://themelamp.com/html/learnedu/)
05:47:59	45577/45577	---M-Z	200	added ('OK')	text/html	etag:%22b209-56bbf890fe880-gzip%22	http://themelamp.com/html/learnedu/index.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/index-2.html	(from http://themelamp.com/html/learnedu/)
05:48:01	27536/27536	---M--	200	added ('OK')	image/png	etag:%226b90-56b4f5834d880%22	http://themelamp.com/html/learnedu/images/logo.png	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/logo.png	(from http://themelamp.com/html/learnedu/)
05:48:02	46080/46080	---M-Z	200	added ('OK')	text/html	etag:%22b400-56b7884188400-gzip%22	http://themelamp.com/html/learnedu/index2.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/index2.html	(from http://themelamp.com/html/learnedu/)
05:48:02	20265/20265	---M-Z	200	added ('OK')	text/html	etag:%224f29-56b78c2713580-gzip%22	http://themelamp.com/html/learnedu/about.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/about.html	(from http://themelamp.com/html/learnedu/)
05:48:03	20205/20205	---M-Z	200	added ('OK')	text/html	etag:%224eed-56b78837fed80-gzip%22	http://themelamp.com/html/learnedu/teacher.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/teacher.html	(from http://themelamp.com/html/learnedu/)
05:48:04	18289/18289	---M-Z	200	added ('OK')	text/html	etag:%224771-56b788342e480-gzip%22	http://themelamp.com/html/learnedu/teacher2.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/teacher2.html	(from http://themelamp.com/html/learnedu/)
05:48:05	17335/17335	---M-Z	200	added ('OK')	text/html	etag:%2243b7-56b7882e75700-gzip%22	http://themelamp.com/html/learnedu/teacher-single.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/teacher-single.html	(from http://themelamp.com/html/learnedu/)
05:48:06	16370/16370	---M-Z	200	added ('OK')	text/html	etag:%223ff2-56b78826d4500-gzip%22	http://themelamp.com/html/learnedu/testimonials.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/testimonials.html	(from http://themelamp.com/html/learnedu/)
05:48:07	19932/19932	---M-Z	200	added ('OK')	text/html	etag:%224ddc-56b7884558d00-gzip%22	http://themelamp.com/html/learnedu/faqs.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/faqs.html	(from http://themelamp.com/html/learnedu/)
05:48:08	4896/4896	---M-Z	200	added ('OK')	text/html	etag:%221320-56b788a887700-gzip%22	http://themelamp.com/html/learnedu/404.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/404.html	(from http://themelamp.com/html/learnedu/)
05:48:09	20602/20602	---M-Z	200	added ('OK')	text/html	etag:%22507a-56b78863dd500-gzip%22	http://themelamp.com/html/learnedu/courses.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/courses.html	(from http://themelamp.com/html/learnedu/)
05:48:10	24010/24010	---M-Z	200	added ('OK')	text/html	etag:%225dca-56b7885a53e80-gzip%22	http://themelamp.com/html/learnedu/course-single.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/course-single.html	(from http://themelamp.com/html/learnedu/)
05:48:11	19966/19966	---M-Z	200	added ('OK')	text/html	etag:%224dfe-56b7885683580-gzip%22	http://themelamp.com/html/learnedu/course-single-video.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/course-single-video.html	(from http://themelamp.com/html/learnedu/)
05:48:12	20274/20274	---M-Z	200	added ('OK')	text/html	etag:%224f32-56b7884ee2380-gzip%22	http://themelamp.com/html/learnedu/events.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/events.html	(from http://themelamp.com/html/learnedu/)
05:48:13	20228/20228	---M-Z	200	added ('OK')	text/html	etag:%224f04-56b7884b11a80-gzip%22	http://themelamp.com/html/learnedu/event-single.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/event-single.html	(from http://themelamp.com/html/learnedu/)
05:48:14	20804/20804	---M-Z	200	added ('OK')	text/html	etag:%225144-56b7888fbbc80-gzip%22	http://themelamp.com/html/learnedu/blogs.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/blogs.html	(from http://themelamp.com/html/learnedu/)
05:48:15	26623/26623	---M-Z	200	added ('OK')	text/html	etag:%2267ff-56b7888261d00-gzip%22	http://themelamp.com/html/learnedu/blogs-left-sidebar.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/blogs-left-sidebar.html	(from http://themelamp.com/html/learnedu/)
